,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH,active
3295,1993-036BVY,COSMOS 2251 DEB,40795,CIS,98.63,73.97,790.0,597.0,1993-06-16,0
3296,1993-036BVX,COSMOS 2251 DEB,40794,CIS,99.92,73.99,783.0,727.0,1993-06-16,0
3297,1993-036BVW,COSMOS 2251 DEB,40793,CIS,102.94,73.98,1065.0,730.0,1993-06-16,0
3298,1993-036BVV,COSMOS 2251 DEB,40792,CIS,99.42,74.05,750.0,711.0,1993-06-16,0
3299,1994-085AC,SL-19 DEB,40791,CIS,127.4,64.11,2612.0,1405.0,1994-12-26,0
3300,1994-085AA,SL-19 DEB,40789,CIS,128.48,64.87,2844.0,1268.0,1994-12-26,0
3301,1989-006CH,ARIANE 2 DEB,40788,FR,469.77,8.5,26851.0,428.0,1989-01-27,0
3302,1989-006CG,ARIANE 2 DEB,40787,FR,639.38,8.14,35745.0,668.0,1989-01-27,0
3303,1989-006CF,ARIANE 2 DEB,40786,FR,636.08,8.34,35618.0,626.0,1989-01-27,0
3304,1989-006CE,ARIANE 2 DEB,40785,FR,615.39,7.27,34723.0,453.0,1989-01-27,0
3305,1989-006CD,ARIANE 2 DEB,40784,FR,235.14,8.24,12282.0,200.0,1989-01-27,0
3306,1989-006CC,ARIANE 2 DEB,40783,FR,641.12,6.6,35736.0,766.0,1989-01-27,0
3307,1979-104AK,ARIANE 1 DEB,40782,ESA,658.05,15.89,36579.0,786.0,1979-12-24,0
3308,1979-104AJ,ARIANE 1 DEB,40781,ESA,459.19,19.11,26156.0,520.0,1979-12-24,0
3309,1979-104AH,ARIANE 1 DEB,40780,ESA,369.88,18.75,20886.0,496.0,1979-12-24,0
3310,1979-104AG,ARIANE 1 DEB,40779,ESA,694.66,18.43,38546.0,662.0,1979-12-24,0
3311,1979-104AF,ARIANE 1 DEB,40778,ESA,260.35,17.92,13526.0,730.0,1979-12-24,0
3312,1979-104AD,ARIANE 1 DEB,40776,ESA,647.63,17.62,36168.0,667.0,1979-12-24,0
3313,1979-104AC,ARIANE 1 DEB,40775,ESA,672.98,16.78,37457.0,664.0,1979-12-24,0
3314,1979-104AB,ARIANE 1 DEB,40774,ESA,371.09,18.75,20961.0,495.0,1979-12-24,0
3315,1976-077GS,DELTA 1 DEB,40773,US,117.35,102.11,1628.0,1496.0,1976-07-29,0
3316,1976-077GR,DELTA 1 DEB,40772,US,119.51,102.31,1810.0,1507.0,1976-07-29,0
3317,1976-077GQ,DELTA 1 DEB,40771,US,116.16,101.87,1521.0,1495.0,1976-07-29,0
3318,1976-077GP,DELTA 1 DEB,40770,US,114.8,101.5,1485.0,1408.0,1976-07-29,0
3319,1976-077GN,DELTA 1 DEB,40769,US,115.94,101.76,1505.0,1491.0,1976-07-29,0
3320,1976-077GM,DELTA 1 DEB,40768,US,114.11,101.3,1457.0,1373.0,1976-07-29,0
3321,1976-077GL,DELTA 1 DEB,40767,US,117.9,102.11,1677.0,1496.0,1976-07-29,0
3322,1976-077GK,DELTA 1 DEB,40766,US,117.74,102.07,1660.0,1498.0,1976-07-29,0
3323,1976-077GJ,DELTA 1 DEB,40765,US,115.69,101.88,1509.0,1464.0,1976-07-29,0
3324,1976-077GH,DELTA 1 DEB,40764,US,116.08,101.85,1505.0,1504.0,1976-07-29,0
3325,1976-077GG,DELTA 1 DEB,40763,US,114.53,101.39,1455.0,1414.0,1976-07-29,0
3326,1976-077GF,DELTA 1 DEB,40762,US,121.71,102.36,2025.0,1489.0,1976-07-29,0
3327,1976-077GE,DELTA 1 DEB,40761,US,118.95,102.27,1773.0,1494.0,1976-07-29,0
3328,1976-077GD,DELTA 1 DEB,40760,US,124.57,103.32,2269.0,1500.0,1976-07-29,0
3329,1976-077GC,DELTA 1 DEB,40759,US,113.73,102.14,1626.0,1169.0,1976-07-29,0
3330,1976-077GB,DELTA 1 DEB,40758,US,117.53,102.18,1640.0,1500.0,1976-07-29,0
3331,1976-077GA,DELTA 1 DEB,40757,US,114.81,101.58,1450.0,1443.0,1976-07-29,0
3332,1976-077FZ,DELTA 1 DEB,40756,US,117.46,102.21,1628.0,1505.0,1976-07-29,0
3333,1976-077FY,DELTA 1 DEB,40755,US,115.71,101.72,1500.0,1475.0,1976-07-29,0
3334,1976-077FX,DELTA 1 DEB,40754,US,117.55,102.16,1645.0,1496.0,1976-07-29,0
3335,1976-077FW,DELTA 1 DEB,40753,US,117.08,101.94,1598.0,1501.0,1976-07-29,0
3336,1976-077FV,DELTA 1 DEB,40752,US,126.59,102.23,2444.0,1502.0,1976-07-29,0
3337,2015-037D,YZ-1 R/B,40751,PRC,919.59,56.09,27867.0,22026.0,2015-07-25,0
3338,2015-037C,CZ-3B R/B,40750,PRC,300.31,55.01,16565.0,389.0,2015-07-25,0
3339,2015-037B,BD-19,40749,PRC,773.22,55.87,21539.0,21516.0,2015-07-25,1
3340,2015-037A,BD-18,40748,PRC,773.21,55.87,21546.0,21509.0,2015-07-25,1
3341,2015-036A,WGS 7 (USA 263),40746,US,1436.09,0.01,35787.0,35786.0,2015-07-24,1
3342,2015-034D,ARIANE 5 DEB (SYLDA),40735,FR,534.57,4.05,30617.0,264.0,2015-07-15,0
3343,2015-034C,ARIANE 5 R/B,40734,FR,624.89,3.85,35381.0,286.0,2015-07-15,0
3344,2015-034B,STARONE C4,40733,BRAZ,1436.13,0.01,35796.0,35779.0,2015-07-15,1
3345,2015-034A,METEOSAT 11 (MSG 4),40732,EUME,1436.22,0.8,35792.0,35786.0,2015-07-15,1
3346,2015-033B,ATLAS 5 CENTAUR R/B,40731,US,754.46,56.04,21694.0,20455.0,2015-07-15,0
3347,2015-033A,NAVSTAR 74 (USA 262),40730,US,717.93,55.59,20303.0,20059.0,2015-07-15,1
3348,1995-015FW,DMSP 5D-2 F13 DEB,40721,US,100.64,98.71,811.0,767.0,1995-03-24,0
3349,2015-032F,PSLV R/B,40720,IND,97.3,98.01,634.0,625.0,2015-07-10,0
3350,2015-032E,DEORBITSAIL,40719,UK,97.51,97.89,650.0,629.0,2015-07-10,0
3351,2015-032D,CARBONITE 1,40718,UK,97.64,97.87,657.0,635.0,2015-07-10,1
3352,2015-032C,DMC 3-FM3,40717,UK,97.71,97.96,660.0,638.0,2015-07-10,1
3353,2015-032B,DMC 3-FM2,40716,UK,97.71,97.96,658.0,641.0,2015-07-10,1
3354,2015-032A,DMC 3-FM1,40715,UK,97.71,97.95,660.0,639.0,2015-07-10,1
3355,1993-055E,METEOR 2-21 DEB,40712,CIS,103.38,82.55,935.0,901.0,1993-08-31,0
3356,1993-055D,METEOR 2-21 DEB,40711,CIS,103.16,82.55,922.0,895.0,1993-08-31,0
3357,1984-072M,METEOR 2-11 DEB,40710,CIS,103.7,82.53,955.0,912.0,1984-07-05,0
3358,1984-072L,METEOR 2-11 DEB,40709,CIS,103.63,82.52,950.0,910.0,1984-07-05,0
3359,1984-072K,METEOR 2-11 DEB,40708,CIS,103.7,82.52,943.0,924.0,1984-07-05,0
3360,1984-072J,METEOR 2-11 DEB,40707,CIS,103.65,82.53,944.0,919.0,1984-07-05,0
3361,1984-072H,METEOR 2-11 DEB,40706,CIS,103.7,82.53,949.0,918.0,1984-07-05,0
3362,1984-072G,METEOR 2-11 DEB,40705,CIS,103.69,82.53,952.0,914.0,1984-07-05,0
3363,1984-072F,METEOR 2-11 DEB,40704,CIS,103.69,82.53,952.0,914.0,1984-07-05,0
3364,1984-072E,METEOR 2-11 DEB,40703,CIS,103.71,82.53,950.0,918.0,1984-07-05,0
3365,2015-030A,GAOFEN 8,40701,PRC,94.51,97.45,501.0,489.0,2015-06-26,1
3366,2015-029A,COSMOS 2506,40699,CIS,99.02,98.41,719.0,705.0,2015-06-23,1
3367,2015-028B,AVUM R/B,40698,FR,96.17,98.63,755.0,395.0,2015-06-23,0
3368,2015-028A,SENTINEL 2A,40697,ESA,100.64,98.57,790.0,788.0,2015-06-23,1
3369,1999-025EXC,FENGYUN 1C DEB,40696,PRC,103.18,98.96,969.0,849.0,1999-05-10,0
3370,1999-025EXB,FENGYUN 1C DEB,40695,PRC,99.76,99.47,966.0,529.0,1999-05-10,0
3371,1999-025EXA,FENGYUN 1C DEB,40694,PRC,101.03,98.34,885.0,729.0,1999-05-10,0
3372,1999-025EWZ,FENGYUN 1C DEB,40693,PRC,106.25,98.92,1273.0,833.0,1999-05-10,0
3373,1999-025EWY,FENGYUN 1C DEB,40692,PRC,102.58,99.2,952.0,810.0,1999-05-10,0
3374,1999-025EWX,FENGYUN 1C DEB,40691,PRC,103.68,99.34,1027.0,838.0,1999-05-10,0
3375,1999-025EWW,FENGYUN 1C DEB,40690,PRC,103.38,99.33,989.0,848.0,1999-05-10,0
3376,1999-025EWV,FENGYUN 1C DEB,40689,PRC,106.07,99.08,1291.0,798.0,1999-05-10,0
3377,1999-025EWU,FENGYUN 1C DEB,40688,PRC,104.27,99.14,1066.0,854.0,1999-05-10,0
3378,1999-025EWT,FENGYUN 1C DEB,40687,PRC,108.38,99.16,1478.0,826.0,1999-05-10,0
3379,1999-025EWS,FENGYUN 1C DEB,40686,PRC,98.48,99.24,693.0,679.0,1999-05-10,0
3380,1999-025EWR,FENGYUN 1C DEB,40685,PRC,104.3,99.42,1091.0,832.0,1999-05-10,0
3381,1999-025EWQ,FENGYUN 1C DEB,40684,PRC,102.12,98.86,885.0,833.0,1999-05-10,0
3382,1999-025EWP,FENGYUN 1C DEB,40683,PRC,93.88,96.95,510.0,418.0,1999-05-10,0
3383,1999-025EWN,FENGYUN 1C DEB,40682,PRC,99.68,99.06,788.0,698.0,1999-05-10,0
